x,y,boja
39,69.81,1
2,3.78,0
1,1.98,0
42,88.61999999999999,1
46,97.52000000000001,1
50,108.0,1
30,58.199999999999996,1
44,95.92,0
5,9.549999999999999,0
15,29.55,1
37,78.07,0
19,38.949999999999996,1
20,36.2,1
13,26.26,1
20,39.8,0
9,17.82,0
27,48.06,1
30,58.8,1
24,46.8,0
45,96.30000000000001,1
35,75.60000000000001,0
19,41.42,1
7,15.75,1
29,61.19,1
14,31.080000000000002,0
20,38.199999999999996,0
10,18.799999999999997,1
6,13.440000000000001,1
48,101.76,0
47,98.22999999999999,0
30,67.2,0
44,81.84,1
34,70.04,1
18,39.96,0
24,50.88,0
41,78.72,0
45,82.35000000000001,0
20,37.2,0
42,85.25999999999999,1
21,44.73,1
33,72.92999999999999,1
40,86.8,1
49,102.9,1
2,3.66,1
48,98.88,0
50,107.5,0
37,67.34,1
15,28.5,1
30,64.5,1
25,54.25,1
49,86.24,1
31,66.64999999999999,0
11,22.11,0
29,60.029999999999994,1
12,22.32,1
5,9.8,1
18,35.46,0
38,81.32000000000001,1
17,35.53,0
29,57.13,0
35,78.75,0
38,75.24,1
37,81.4,0
17,33.66,0
48,86.4,0
37,74.74,0
41,87.74000000000001,0
13,24.439999999999998,1
5,10.95,0
44,94.16000000000001,0
49,97.51,0
43,77.83,1
8,15.6,1
15,27.0,0
16,30.72,0
49,91.14,1
28,52.919999999999995,0
37,65.12,0
12,26.28,1
23,46.23,0
39,83.46000000000001,1
50,97.5,0
1,2.1,1
26,56.94,0
30,54.900000000000006,1
28,59.36,0
21,46.620000000000005,1
48,96.96000000000001,0
5,11.25,1
34,63.919999999999995,1
47,96.82000000000001,0
29,58.87,0
16,30.4,1
18,36.54,0
20,36.0,0
29,64.96000000000001,1
13,25.09,1
12,24.839999999999996,0
7,15.469999999999999,1
19,34.58,0
18,33.660000000000004,1
43,82.56,1
35,61.95,1
19,42.56,0
3,5.43,0
43,79.55,1
17,37.23,0
31,66.96000000000001,1
4,7.52,1
14,28.139999999999997,0
34,69.02,1
26,49.14,0
47,93.53,1
10,21.400000000000002,0
50,91.0,1
33,61.38,0
6,12.54,1
6,11.34,0
41,72.57000000000001,0
38,84.36000000000001,1
28,55.44,0
37,82.88000000000001,0
26,54.86,1
33,71.28,0
42,75.60000000000001,0
42,85.68,0
28,54.04,0
42,86.52,0
36,65.88,0
7,13.020000000000001,1
43,95.46000000000001,0
48,98.39999999999999,0
21,40.74,1
22,39.38,0
38,76.76,1
26,51.74,1
3,5.76,0
47,84.60000000000001,1
20,41.6,0
5,9.95,1
28,55.16,0
42,78.96,0
13,29.120000000000005,0
25,48.5,0
12,24.0,0
29,53.07,0
38,72.58,0
16,33.44,1
48,91.67999999999999,0
7,14.98,1
35,77.35,0
6,12.48,1
37,79.18,1
24,49.199999999999996,1
32,56.0,1
48,88.32000000000001,0
7,14.14,0
49,105.35,0
13,26.52,1
38,71.44,1
45,87.75,1
19,41.99,1
4,8.84,1
24,46.32,0
49,97.51,1
15,27.6,1
2,3.84,0
18,38.160000000000004,0
35,74.55,1
45,93.14999999999999,1
4,7.72,0
25,50.0,0
11,23.76,1
26,53.56,1
11,23.32,0
40,80.8,1
19,37.81,1
33,61.050000000000004,1
42,91.98,1
21,40.949999999999996,0
37,81.03,1
9,17.73,1
33,69.63,0
17,29.75,0
42,87.36,0
42,84.0,0
9,17.64,1
17,37.57,0
3,6.0,1
2,3.74,1
25,47.25,1
12,23.28,0
48,98.39999999999999,0
4,8.8,1
35,62.65,1
33,62.699999999999996,0
27,50.220000000000006,1
27,53.19,0
37,76.58999999999999,1
36,74.88,1
15,27.900000000000002,1
39,81.12,0
29,64.09,0
5,9.85,1
34,71.4,0
50,112.00000000000001,1
50,96.5,1
45,84.15,0
3,5.25,0
43,80.41000000000001,1
4,7.84,1
12,23.759999999999998,0
42,84.0,0
34,72.76,1
38,68.78,0
25,50.24999999999999,1
5,10.549999999999999,1
15,27.150000000000002,0
27,55.620000000000005,0
10,18.2,0
12,22.68,0
42,89.88000000000001,0
47,104.81,0
24,52.32000000000001,0
1,2.04,1
44,92.4,1
19,41.61,0
34,63.919999999999995,1
34,76.5,0
17,35.87,1
33,61.38,1
37,69.92999999999999,1
24,48.480000000000004,1
9,17.91,0
39,75.66,0
2,4.18,1
9,16.29,1
4,7.4,1
7,14.84,1
22,39.82,0
46,102.58,1
47,96.35,0
7,13.93,0
8,17.92,1
42,92.82,1
25,46.25,0
2,4.2,0
50,90.0,0
41,76.26,1
31,58.9,1
44,80.08,1
49,89.67,0
37,77.33,1
10,20.8,0
18,37.26,0
18,32.22,1
9,17.46,1
1,1.75,1
39,69.81,0
31,64.48,0
47,92.59,1
32,69.44,1
39,72.15,0
14,30.520000000000003,0
26,47.06,0
22,43.12,0
36,78.84,1
30,64.2,0
9,17.37,0
33,71.28,1
1,2.16,0
24,50.88,1
26,47.32,0
10,19.5,1
7,14.700000000000001,0
16,32.0,0
22,38.94,0
22,48.62,1
3,6.029999999999999,0
20,39.4,0
21,41.58,1
4,8.92,0
38,76.76,1
34,67.32,1
9,16.830000000000002,0
35,68.95,0
3,6.0,1
12,21.72,1
23,49.68000000000001,1
50,104.5,0
42,94.08000000000001,1
31,54.56,1
49,86.73,1
46,88.78,1
6,10.92,1
43,77.4,1
11,22.880000000000003,1
39,80.34,0
8,17.6,1
36,78.84,0
29,64.67,1
39,81.50999999999999,1
14,27.3,0
11,24.09,0
49,97.02,0
2,4.02,1
31,58.9,1
50,100.0,0
42,92.4,0
16,35.84,0
6,11.22,1
36,63.36,1
1,2.07,1
15,28.95,1
44,85.8,1
36,75.60000000000001,1
44,89.32,1
41,72.57000000000001,1
14,28.28,1
18,39.96,1
42,92.82,0
5,10.9,0
32,66.56,0
33,74.25,0
32,61.44,0
27,57.51,0
23,41.4,1
46,99.36000000000001,0
24,50.88,0
20,40.199999999999996,0
40,74.80000000000001,1
29,51.33,1
22,38.5,1
4,7.76,0
20,43.8,0
15,26.4,1
29,62.06,1
46,85.56,1
39,83.85,0
23,44.39,0
20,40.4,1
6,12.84,1
9,20.160000000000004,0
43,80.83999999999999,0
47,88.36,1
44,89.76,0
20,41.0,1
18,39.24,0
25,54.0,0
16,29.92,1
28,51.800000000000004,0
19,35.53,1
30,60.3,0
15,31.200000000000003,0
22,45.54,1
11,22.11,1
9,19.89,0
47,101.52000000000001,1
28,49.84,0
40,84.80000000000001,1
21,39.9,0
21,37.17,0
26,55.9,0
27,60.75,1
9,19.98,1
17,33.66,0
2,3.66,0
25,47.75,0
34,68.68,0
5,11.200000000000001,0
21,40.11,1
1,1.75,0
30,64.5,1
40,85.60000000000001,1
15,29.25,0
7,14.14,1
3,5.58,0
43,75.25,0
42,91.98,1
19,41.42,1
18,39.6,0
2,4.38,1
6,13.200000000000001,1
36,78.48,0
11,20.46,0
50,95.0,0
20,40.4,1
8,15.44,0
50,109.5,1
33,63.69,1
20,36.0,0
28,49.28,1
12,26.880000000000003,1
25,43.75,0
31,69.75,1
15,31.049999999999997,0
14,28.699999999999996,0
21,39.06,0
21,43.26,0
27,48.33,1
44,80.96000000000001,1
49,106.33,1
31,66.64999999999999,1
38,80.17999999999999,0
49,102.41,1
38,81.7,1
40,81.6,0
43,78.69,1
32,68.8,0
15,32.400000000000006,1
6,11.52,0
10,19.099999999999998,1
25,56.00000000000001,1
7,13.16,0
28,58.800000000000004,0
16,28.16,1
28,62.720000000000006,1
45,90.9,0
40,88.80000000000001,1
10,19.0,0
26,53.3,0
45,99.00000000000001,1
43,95.89,1
29,61.19,1
10,20.6,0
7,14.349999999999998,0
38,68.78,1
17,35.7,1
30,55.2,0
28,55.16,1
16,33.92,1
32,63.68,0
3,6.209999999999999,0
27,48.6,1
12,26.880000000000003,0
32,60.48,0
42,86.52,0
33,71.94000000000001,0
42,86.94,1
26,49.14,1
37,78.07,0
13,25.349999999999998,1
29,54.230000000000004,1
5,10.75,1
42,76.44,0
42,90.72,0
17,30.26,1
39,86.97,0
14,24.64,0
14,27.16,1
41,86.92,1
16,29.6,1
7,15.540000000000001,1
42,82.74,1
47,89.3,1
22,41.58,1
4,8.92,0
14,25.2,1
30,58.5,1
16,31.04,0
36,70.92,1
48,104.16,0
9,16.11,1
37,69.92999999999999,0
10,21.099999999999998,1
40,87.6,1
21,38.01,0
26,57.98,0
29,60.61,1
29,56.839999999999996,1
19,38.949999999999996,1
12,25.08,1
18,38.339999999999996,0
31,66.96000000000001,0
5,10.049999999999999,1
6,12.419999999999998,0
10,18.5,1
30,64.2,0
21,37.17,0
18,39.06,1
43,82.56,0
14,25.76,1
25,45.25,1
32,65.6,0
42,83.16,1
26,54.08,1
3,5.25,0
10,19.6,0
33,57.75,1
33,68.97,0
36,74.88,1
11,23.1,0
49,96.03999999999999,0
45,88.2,0
10,18.2,0
25,48.5,1
33,72.27,0
9,20.07,0
33,64.02,1
38,70.3,0
47,100.58000000000001,1
21,38.85,0
19,36.48,0
23,41.63,1
18,34.019999999999996,0
16,28.64,0
10,18.799999999999997,1
44,77.0,0
28,57.120000000000005,1
16,31.2,0
33,66.99,0
14,31.360000000000003,1
1,1.78,1
1,2.16,0
40,84.39999999999999,1
41,85.28,1
33,60.06,0
19,38.0,0
47,100.11,0
36,71.28,0
40,80.8,1
16,29.12,0
15,32.25,1
13,24.83,0
6,11.399999999999999,1
9,19.98,1
40,71.6,1
32,63.04,1
40,86.4,0
47,83.19,1
19,39.52,0
33,60.39,1
27,49.68,1
9,19.98,1
44,94.16000000000001,0
1,2.06,0
40,89.60000000000001,1
5,9.0,1
28,53.48,0
25,51.24999999999999,0
50,106.0,1
48,95.52,1
23,49.449999999999996,1
17,38.25,0
50,97.5,1
44,92.83999999999999,0
50,109.00000000000001,0
16,29.76,1
32,72.0,1
37,65.49,1
1,1.88,1
27,50.76,1
47,91.17999999999999,1
27,51.029999999999994,1
40,87.6,0
34,74.12,0
31,58.279999999999994,0
27,48.33,0
40,73.2,1
38,70.68,0
37,75.11,1
21,45.36,1
32,57.28,0
38,81.32000000000001,0
15,31.8,1
20,36.2,1
31,58.589999999999996,0
12,22.919999999999998,1
29,59.449999999999996,1
19,38.0,1
38,79.04,1
1,1.93,1
15,30.3,1
12,24.839999999999996,0
27,47.79,1
29,62.349999999999994,1
17,31.790000000000003,0
24,43.68,1
13,27.3,1
37,72.14999999999999,0
7,13.51,0
1,1.77,1
7,15.75,1
49,100.44999999999999,1
10,18.1,1
44,99.0,0
50,99.0,1
29,57.71,1
39,80.72999999999999,1
40,83.2,0
8,16.0,1
18,40.14,0
26,57.2,0
48,84.0,0
8,17.68,0
26,47.32,1
43,96.75,0
19,35.53,1
33,58.74,1
48,98.39999999999999,0
16,30.24,1
37,76.96000000000001,0
1,1.98,0
40,83.6,0
27,59.67,0
46,99.82,0
13,28.47,0
24,53.04,1
27,52.65,0
5,10.049999999999999,0
4,8.52,0
50,91.5,0
46,90.62,0
31,58.9,1
23,40.71,1
11,21.34,0
24,52.08,1
24,51.36,1
30,54.6,1
33,62.699999999999996,0
13,26.52,0
18,36.36,0
22,42.239999999999995,0
44,97.68,0
35,65.10000000000001,0
31,54.25,1
32,70.72,1
45,87.3,0
20,40.0,0
24,42.72,0
10,20.099999999999998,0
50,106.0,0
39,70.2,0
35,65.45,1
32,64.32,1
36,80.64000000000001,1
37,77.7,0
1,1.87,0
49,95.55,0
1,2.2,0
34,62.56,0
10,19.4,1
27,47.52,0
18,37.98,0
26,46.28,1
4,7.28,0
7,14.700000000000001,0
28,50.4,0
38,82.08000000000001,0
2,3.94,1
47,103.87,0
49,96.03999999999999,0
5,8.9,1
20,44.6,1
47,98.22999999999999,1
9,17.46,0
25,55.25,1
40,86.8,1
5,9.95,0
44,87.56,1
1,1.97,0
29,58.87,1
28,54.32,0
36,65.52,1
15,27.900000000000002,0
43,94.60000000000001,0
30,56.699999999999996,0
5,9.8,1
6,12.299999999999999,0
49,95.06,1
9,19.26,1
46,103.04,1
18,32.4,1
33,69.3,1
11,21.56,0
43,75.68,1
20,35.2,0
13,24.7,1
27,49.68,1
39,79.16999999999999,0
31,65.10000000000001,1
40,83.6,0
48,103.68,1
19,39.33,0
4,8.24,0
35,77.35,1
9,20.25,1
44,99.0,1
48,105.12,0
8,17.76,0
26,47.32,0
28,59.08,1
22,48.84,0
12,24.48,0
13,25.22,1
19,36.29,1
2,4.06,0
40,70.0,1
24,51.12,1
25,54.50000000000001,1
3,6.57,1
3,6.51,1
41,74.21000000000001,1
16,32.16,0
18,34.199999999999996,0
19,39.709999999999994,1
5,8.9,1
9,18.45,0
17,33.66,0
20,39.2,0
46,97.05999999999999,0
23,45.08,0
19,39.52,1
42,77.7,0
24,49.92,0
25,50.5,1
9,16.740000000000002,0
37,74.0,1
15,33.0,1
14,29.54,1
36,73.08,0
13,27.560000000000002,1
20,37.0,1
29,53.940000000000005,1
29,60.900000000000006,1
19,37.81,1
47,101.99,1
49,96.53,0
30,63.0,0
42,93.24000000000001,1
18,37.08,1
49,94.08,1
21,42.84,0
24,53.760000000000005,0
12,21.12,0
35,74.55,1
16,34.72,0
24,50.400000000000006,1
35,75.95,0
14,25.900000000000002,0
16,28.48,1
37,73.63,0
43,94.17,1
28,60.199999999999996,0
23,51.06,1
15,27.6,0
41,81.17999999999999,0
35,70.0,1
37,75.48,0
8,15.52,1
48,86.4,1
17,34.51,0
34,63.919999999999995,0
22,42.46,1
50,91.0,0
32,63.68,1
23,46.69,1
32,59.84,0
16,35.52,0
3,5.64,1
5,10.700000000000001,0
34,75.14,1
26,49.92,0
28,55.72,1
8,16.56,0
35,70.7,0
9,18.18,1
50,112.5,0
29,59.74,0
35,66.14999999999999,0
31,66.34,1
17,37.06,0
47,89.77,0
30,63.6,0
29,53.07,1
24,47.28,0
7,14.98,1
21,36.96,0
2,3.96,1
12,23.04,1
11,20.02,0
27,52.11,1
37,66.60000000000001,1
14,24.5,1
20,41.2,0
41,74.62,0
13,23.27,1
31,54.56,0
22,46.86,0
12,24.48,1
9,16.830000000000002,1
16,32.48,1
33,67.32000000000001,1
8,17.36,0
17,35.87,0
19,34.01,1
43,81.7,1
4,7.08,1
32,64.32,0
10,20.299999999999997,1
3,6.39,1
21,43.89,1
27,49.14,0
44,90.19999999999999,1
14,26.18,1
33,72.60000000000001,1
24,43.68,1
43,92.02000000000001,1
24,47.04,0
10,18.799999999999997,1
7,15.61,0
4,8.36,0
25,55.25,1
13,25.22,0
50,112.5,0
35,66.85,0
25,55.00000000000001,1
30,67.5,1
5,8.9,1
45,90.44999999999999,1
26,56.42,1
13,27.3,1
43,85.57,1
18,36.17999999999999,0
33,68.64,1
8,16.56,1
33,69.96000000000001,0
28,60.76,1
14,29.68,1
35,77.7,0
40,87.6,0
